iter	Passed	Remaining
744	107650	36846
745	107803	36705
746	107952	36562
747	108088	36414
748	108232	36270
749	108363	36121
750	108500	35974
751	108642	35828
752	108796	35687
753	108943	35544
754	109088	35399
755	109225	35252
756	109385	35113
757	109535	34970
758	109681	34826
759	109818	34679
760	109951	34531
761	110085	34383
762	110229	34238
763	110383	34097
764	110518	33950
765	110666	33806
766	110833	33669
767	110989	33527
768	111133	33383
769	111281	33239
770	111429	33096
771	111564	32949
772	111703	32803
773	111841	32656
774	111986	32512
775	112116	32363
776	112256	32217
777	112397	32072
778	112533	31925
779	112678	31780
780	112811	31633
781	112935	31483
782	113087	31340
783	113223	31194
784	113350	31045
785	113481	30896
786	113617	30750
787	113749	30602
788	113908	30462
789	114060	30319
790	114200	30174
791	114337	30028
792	114482	29883
793	114638	29742
794	114780	29597
795	114914	29450
796	115052	29304
797	115185	29157
798	115320	29010
799	115469	28867
800	115618	28724
801	115763	28580
802	115902	28434
803	116060	28293
804	116204	28148
805	116339	28002
806	116473	27855
807	116613	27710
808	116761	27566
809	117143	27478
810	117491	27380
811	117637	27236
812	117770	27088
813	117908	26942
814	118052	26797
815	118188	26650
816	118322	26503
817	118455	26355
818	118587	26207
819	118724	26061
820	118866	25916
821	118998	25768
822	119120	25618
823	119259	25472
824	119397	25326
825	119540	25181
826	119686	25037
827	119827	24891
828	119977	24748
829	120108	24600
830	120254	24456
831	120410	24313
832	120555	24169
833	120697	24023
834	120881	23886
835	121092	23755
836	121268	23616
837	121450	23478
838	121627	23339
839	121777	23195
840	121937	23053
841	122109	22913
842	122268	22771
843	122411	22625
844	122578	22484
845	122719	22339
846	122852	22191
847	122992	22045
848	123143	21901
849	123301	21759
850	123467	21617
851	123606	21471
852	123744	21325
853	123888	21179
854	124033	21034
855	124176	20889
856	124319	20744
857	124475	20600
858	124619	20455
859	124760	20309
860	124914	20166
861	125058	20020
862	125201	19875
863	125368	19733
864	125514	19588
865	125682	19447
866	125847	19305
867	126012	19163
868	126160	19018
869	126317	18874
870	126484	18733
871	126643	18589
872	126791	18444
873	126941	18300
874	127095	18156
875	127235	18010
876	127395	17867
877	127522	17719
878	127665	17574
879	127816	17429
880	127963	17284
881	128108	17139
882	128256	16994
883	128399	16848
884	128552	16704
885	128697	16559
886	128840	16413
887	128984	16268
888	129125	16122
889	129266	15976
890	129418	15832
891	129575	15688
892	129743	15545
893	129898	15401
894	130044	15256
895	130193	15111
896	130330	14965
897	130489	14821
898	130627	14675
899	130778	14530
900	130918	14385
901	131071	14240
902	131220	14095
903	131355	13949
904	131494	13803
905	131635	13657
906	131784	13512
907	131926	13366
908	132077	13222
909	132225	13077
910	132362	12931
911	132512	12786
912	132661	12641
913	132811	12496
914	132965	12351
915	133102	12205
916	133234	12059
917	133387	11914
918	133517	11768
919	133655	11622
920	133789	11475
921	133922	11329
922	134059	11183
923	134200	11038
924	134347	10893
925	134482	10746
926	134626	10601
927	134758	10455
928	134901	10309
929	135039	10164
930	135173	10018
931	135321	9873
932	135461	9727
933	135610	9582
934	135761	9437
935	135920	9293
936	136065	9148
937	136226	9004
938	136364	8858
939	136495	8712
940	136643	8567
941	136785	8422
942	136930	8276
943	137072	8131
944	137220	7986
945	137358	7840
946	137504	7695
947	137634	7549
948	137782	7404
949	137923	7259
950	138057	7113
951	138187	6967
952	138335	6822
953	138507	6678
954	138669	6534
955	138822	6389
956	138997	6245
957	139201	6102
958	139387	5959
959	139553	5814
960	139734	5670
961	139915	5526
962	140078	5382
963	140240	5237
964	140404	5092
965	140555	4947
966	140707	4801
967	140855	4656
968	141009	4511
969	141158	4365
970	141310	4220
971	141471	4075
972	141610	3929
973	141754	3784
974	141906	3638
975	142055	3493
976	142207	3347
977	142365	3202
978	142501	3056
979	142629	2910
980	142778	2765
981	142918	2619
982	143054	2473
983	143179	2328
984	143318	2182
985	143451	2036
986	143592	1891
987	143740	1745
988	143877	1600
989	144013	1454
990	144153	1309
991	144290	1163
992	144451	1018
993	144597	872
994	144731	727
995	144865	581
996	145000	436
997	145142	290
998	145299	145
999	145453	0
